feature_set,model,fold,accuracy,balanced_accuracy,f1,roc_auc
scvi_patient_gpu,logistic,1,0.625,0.6190476190476191,0.6666666666666666,0.6031746031746031
scvi_patient_gpu,logistic,2,0.8125,0.7833333333333333,0.8571428571428571,0.8333333333333334
scvi_patient_gpu,logistic,3,0.8,0.8333333333333333,0.8,0.962962962962963
scvi_patient_gpu,logistic,4,0.8666666666666667,0.8888888888888888,0.875,1.0
scvi_patient_gpu,logistic,5,0.6666666666666666,0.6944444444444444,0.6666666666666666,0.7592592592592593
scvi_patient_gpu,svm,1,0.5,0.47619047619047616,0.6,0.619047619047619
scvi_patient_gpu,svm,2,0.75,0.7,0.8181818181818182,0.9166666666666666
scvi_patient_gpu,svm,3,0.9333333333333333,0.9444444444444444,0.9411764705882353,0.962962962962963
scvi_patient_gpu,svm,4,0.8666666666666667,0.8888888888888888,0.875,0.925925925925926
scvi_patient_gpu,svm,5,0.8,0.7777777777777777,0.8421052631578947,0.7592592592592592
scvi_patient_gpu,rf,1,0.5,0.46031746031746035,0.6363636363636364,0.6904761904761905
scvi_patient_gpu,rf,2,0.75,0.7,0.8181818181818182,0.8666666666666667
scvi_patient_gpu,rf,3,1.0,1.0,1.0,1.0
scvi_patient_gpu,rf,4,0.8666666666666667,0.8888888888888888,0.875,0.962962962962963
scvi_patient_gpu,rf,5,0.7333333333333333,0.6944444444444444,0.8,0.75
scvi_patient_gpu,hgb,1,0.6875,0.6746031746031746,0.7368421052631579,0.6984126984126984
scvi_patient_gpu,hgb,2,0.75,0.6666666666666666,0.8333333333333334,0.6666666666666666
scvi_patient_gpu,hgb,3,0.8,0.7777777777777777,0.8421052631578947,0.9074074074074074
scvi_patient_gpu,hgb,4,0.9333333333333333,0.9444444444444444,0.9411764705882353,0.9444444444444444
scvi_patient_gpu,hgb,5,0.6,0.5555555555555556,0.7,0.6851851851851852
scvi_celltype_gpu,logistic,1,0.625,0.6190476190476191,0.6666666666666666,0.6507936507936507
scvi_celltype_gpu,logistic,2,0.875,0.8333333333333333,0.9090909090909091,0.9333333333333333
scvi_celltype_gpu,logistic,3,0.9333333333333333,0.9444444444444444,0.9411764705882353,0.9814814814814815
scvi_celltype_gpu,logistic,4,0.9333333333333333,0.9444444444444444,0.9411764705882353,1.0
scvi_celltype_gpu,logistic,5,0.8666666666666667,0.8611111111111112,0.8888888888888888,0.8333333333333334
scvi_celltype_gpu,svm,1,0.6875,0.6904761904761905,0.7058823529411765,0.6507936507936507
scvi_celltype_gpu,svm,2,0.75,0.7,0.8181818181818182,0.85
scvi_celltype_gpu,svm,3,0.8666666666666667,0.8611111111111112,0.8888888888888888,0.9444444444444444
scvi_celltype_gpu,svm,4,0.8666666666666667,0.8888888888888888,0.875,0.9074074074074074
scvi_celltype_gpu,svm,5,0.8666666666666667,0.8611111111111112,0.8888888888888888,0.7592592592592592
scvi_celltype_gpu,rf,1,0.6875,0.6904761904761905,0.7058823529411765,0.6746031746031746
scvi_celltype_gpu,rf,2,0.75,0.7,0.8181818181818182,0.9166666666666667
scvi_celltype_gpu,rf,3,0.9333333333333333,0.9166666666666667,0.9473684210526315,0.9814814814814815
scvi_celltype_gpu,rf,4,0.8666666666666667,0.8888888888888888,0.875,1.0
scvi_celltype_gpu,rf,5,0.8,0.7777777777777777,0.8421052631578947,0.7685185185185185
scvi_celltype_gpu,hgb,1,0.5625,0.5634920634920635,0.5882352941176471,0.6825396825396826
scvi_celltype_gpu,hgb,2,0.8125,0.75,0.8695652173913043,0.8
scvi_celltype_gpu,hgb,3,0.9333333333333333,0.9444444444444444,0.9411764705882353,0.962962962962963
scvi_celltype_gpu,hgb,4,0.8666666666666667,0.8888888888888888,0.875,1.0
scvi_celltype_gpu,hgb,5,0.8,0.7777777777777777,0.8421052631578947,0.7592592592592592
